Gene	Eto_1	Eto_2	Eto_3	FTY_1	FTY_2	FTY_3
LMAN2	27978119.17	30876206.94	23737679.33	22784365.88	13102755.19	20194681.46
SF3A2	927604.6013	294752.9356	464573.7048	1401152.913	1112944.569	1015379.796
MAVS	3215960.266	3562722.919	3764525.771	2734349.956	1042204.377	2564982.937
HSPA1B	77156737.5	60672178.74	71109622.65	112739458.1	80102150.86	101883777.1
FUS	7242438.617	7935240.104	9566849.985	34910984.93	15447977.6	19499306.44
DDAH2	2036739.474	1945325.422	2331737.197	3181884.34	3359341.97	5342939.013
SEPTIN10	1072697.216	1144934.809	1175090.395	852171.3476	314281.9034	414226.9102
TRMT10C	1490268.398	1902830.985	2163438.379	2302619.066	3147472.381	3077721.037
ADIPOQ	3140215.982	4925354.822	3518287.826	2116807.937	2840409.802	891417.8181
DDX41	3189467.845	2180188.693	3013521.787	2326852.57	883841.569	501522.7105
RPS27	12018609.72	13282668.56	16699313	25966661.83	26507126.63	20056691.03
