Gene	CTRL_1	CTRL_2	CTRL_3	Eto_1	Eto_2	Eto_3
GNAI1	844549.1852	781623.3809	580155.5137	105211.6089	146107.3901	291975.3339
NEDD8	773954.5568	631834.6175	706363.5543	1422898.098	1637526.436	2634400.532
DNAJB1	4574096.763	5080753.476	4887452.516	1263943.228	2751231.021	2667769.664
RPL9; RPL9P7; RPL9P8; RPL9P9	39803300.78	39547554.48	49363672.99	19927669.12	8915784.326	9975510.329
COPG1	18966584.96	18046167.58	20709840.83	30250953.85	25532021.67	27364244.82
EARS2	4578294.177	4394183.993	2752303.389	558847.1832	381307.6401	942122.5156
NDUFB5	1752221.801	1883116.304	2315063.256	1490541.06	1153023.897	1151709.932
EIF3A	45106564.97	43856192.98	52182710.21	32847925.76	36839921.56	39067081.33
RPS9	173672648.7	181695582.5	219633396.3	102061976.7	65786171.13	62384957.96
DECR1	12386784.29	13887905.18	15573154.35	19525745.53	25588165.17	22515528.58
RAB5A	106580.1704	173290.2737	648872.7448	2077089.179	2619714.405	1461855.959
SRGAP1	1760938.803	1588447.439	1722872.568	4720283.021	4628407.57	3225976.418
NUMA1	15534704.65	15244591.34	16296772.4	9240024.211	8975777.194	10505942.33
RBM39	6062645.539	4650909.849	4828096.04	1049908.627	1855403.554	3392145.201
OSBPL8	5434206.682	6178294.993	6682348.841	14940712.36	14212785.85	11531596.18
EMC8	415140.5178	964870.1378	1045424.81	179201.1062	200893.0252	289397.134
UFC1	1663983.858	907103.8559	1445513.02	651880.0853	480797.2758	561403.4612
H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9	294346374.4	238777205.5	209702444.2	107969203.6	57762621.55	61869948.59
SNX12	4160897.997	3382039.817	3257602.612	7102752.931	6032765.743	6318472.984
HNRNPM	73345723.63	70212138.38	73599276.73	56149839.3	54343990.6	55541085.78
SEC61A1	14097442.86	11637023.28	9225135.61	5653528.459	5936663.878	7288269.898
RCN3	59063421.05	61940929.79	87147831.81	43567768.18	22221999.98	41408963.63
DFFA	636998.777	675920.7757	867647.7533	3361180.934	3294532.605	3695253.488
SLC25A24	12664165.31	13918963.12	10587122.26	19074291.05	22762296.69	21208743.09
B2M	38167116.29	31099420.93	32049935.7	67919537.59	63631887.5	65697564.1
SLK	8644996.379	8832260.435	6653414.636	2953785.961	5198094.306	5726557.616
ATP5PF	2339524.337	2995655.279	2704337.836	9724802.107	12986820.93	15704529.51
PDXK	2596386.681	3394905.037	2683231.084	1867542.836	966792.3178	1120991.991
FBN1	5472094.828	4865765.733	6973071.851	2399791.801	3076966.227	3505009.426
PKM	774047357.8	808111901.5	802873960.4	1205962502	1065088105	1040618689
ACIN1	4837073.802	3990032.245	4990890.287	1838470.081	1984463.903	1119015.221
SH3GL1	21583351.59	22167887.32	19961565.24	13571982.64	12088639.85	12979066.62
DCTN3	11060272.51	12278125.82	13154410.87	34799343.45	37973572.93	53554840.92
NIF3L1	891823.8803	1211138.948	939444.9669	581452.8697	467583.4535	373413.6165
HMOX1	2825821.837	2025231.15	2803997.708	3659066.716	4564536.955	4036064.782
SRP14	15642788.61	14073300.76	19305293.35	8910200.537	8184151.084	8646494.345
SRSF10	1276432.332	1814009.383	3102112.157	825501.6912	199510.4293	244624.2454
NUTF2	26473926.36	27559179.27	33538965.27	52480486.19	62351536.34	66826210.58
NNT	5273840.217	3882105.446	5215313.291	7097520.767	10121581.72	10451516.29
DYNC1I2	14457367.38	14119301.48	14541339.72	13205862.56	11410527.11	12217209.37
AK3	3280226.212	2969166.04	2039853.927	6607910.607	5259475.159	7402754.162
RFTN1	5017211.274	5038300.953	4548825.451	7504051.612	9079205.09	8165065.159
NBAS	1511102.692	592312.3092	598422.3015	1723791.616	2307575.017	2101058.836
CDC73	2342002.596	2444898.606	2684592.019	1040963.843	1074516.591	1164917.17
MYH9	1569635548	1631727571	1595764770	1673058227	1884370046	1881158771
MYBBP1A	2641121.373	2682951.983	2828599.995	1616922.556	1815918.157	1692481.174
LRSAM1	292334.8903	381790.6429	180201.0265	987541.5038	3447542.619	3151555.534
PFDN2	3674976.111	3902811.253	4946310.114	11975962.99	14785283.36	15504713.52
PSMC6	16649850.89	18475708.1	20055210.37	13964487.04	10236633.87	12121340.45
HMGB1	65336993.87	71463786.94	51130584.34	18534176.7	23795382.75	22595846.99
MRPL2	2295023.891	2451363.683	2770627.488	731923.9026	991112.195	953611.4909
EPN1	2228110.968	2258871.304	1771634.623	3036527.77	4594329.399	4145449.305
AARS1	79776864.63	87651483.4	74199859.61	60964536.02	59836198	67818929.07
VAC14	1253151.53	831007.6874	905605.4562	198400.5606	84973.59264	179642.3111
GALNT10	1160781.974	1149037.208	1039089.127	1440268.681	1830869.127	1653359.006
GMPS	10029899.5	6813979.675	12004648.05	4549344.15	3520705.643	3844520.254
TMBIM1	1797678.856	2002673.229	2809823.869	939919.4243	1332158.645	1002272.353
DLGAP4	1044540.412	1010012.261	1341245.577	292335.0389	266598.2888	282790.075
GTF2H2	894429.1765	1228712.168	2112302.455	587735.6392	328900.0726	395149.0313
ISG15	2398524.19	2536552.557	3753519.607	4592019.443	6588272.407	7204031.009
PFDN6	7049221.999	13294488.45	14010180.53	5078525.172	4781075.491	4986563.116
MYO1B	22268768.04	20552021.16	26873911.42	31902946.89	36047000.73	34352160.87
YTHDF3	9962370.005	8769200.405	10066667.62	13256691.51	14189262.77	16651585.6
NR3C1	1499117.244	1798706.798	1525841.002	67222668.63	77359791.2	102955411.9
TIPRL	1872408.498	2299892.594	1016154.734	3524479.418	4058378.122	4310029.504
TRA2A	1138632.175	1749605.876	1972688.426	793587.6738	196311.3975	243302.3451
SET	33881202.84	39221725.66	41209085.11	26349428.28	31081716.1	32009207.75
RRS1	2453494.012	2739611.243	3253571.85	1019332.828	466150.4016	365134.7942
YTHDF1	40921.4033	250740.9237	374206.3687	664646.5575	1187713.451	1576368.988
SPART	2047849.14	2330373.701	2711113.074	3512458.726	3898184.605	4469989.36
VDAC3	3382441.448	3779884.777	3178517.606	16559886.57	11564953.8	6669273.696
AK1	10255431.07	10749194.39	10486292.95	15527587.66	17693766.35	17884454.91
GSTO1	62766811.94	57972850.96	63603653.25	31406208.66	30215033.31	40152952.04
YES1	1908974.133	1710757.972	2191747.275	20930634.76	9645568.841	9967791.998
SMARCC1	31181.50888	56214.77409	46155.49289	956299.3838	998743.3905	863916.5025
HSPB1	329642888.8	314663251.3	289482034.7	224172351.9	181041605.7	193077324
LONP1	5583253.878	5399198.685	6330068.869	7538323.262	7850531.373	7746276.755
PTRH2	434360.6939	651633.9277	916464.0639	3545215.127	1702569.136	1660931.833
GNL1	1983175.571	2145111.355	2323202.125	1614538.172	781449.3237	1097938.761
EXOC5	1646971.599	1373738.572	1216279.252	3202823.318	3393949.583	3514556.909
SEPTIN10	536988.0581	534894.4489	327360.8727	1072697.216	1144934.809	1175090.395
RAB13	1096301.677	1361165.079	1072503.697	1970262.029	2050578.953	2306796.476
MAVS	2085979.393	1989810.987	1874440.901	3215960.266	3562722.919	3764525.771
PHPT1	7927792.174	9071458.129	11745114.14	12059628.03	18428730.69	20626051.49
ATP5F1C	17534898.85	15692932.71	20032823.79	12263569.69	7922447.855	8639560.739
PYCR2	954004.6695	1057768.398	1198039.828	2674785.382	2574331.269	2766408.693
PRPF4B	1158290.08	1278894.984	1567454.938	2281400.626	1844240.593	1799279.097
NUP153	625833.1336	596394.3049	490142.1857	834008.2657	1032996.011	964986.1985
MYO1C	48557710.79	49435631.28	46922550.47	43959639.35	27010120.32	29021846.13
TPD52L2	21559457.48	20956448.9	24023306.46	56441944.85	67252094.34	70736813.95
RAB2A	24456663.26	22647452.87	18505654.55	32235281.53	28821951.62	27904986.88
PAK1	188299.4674	121043.9261	97164.98371	307948.7675	638153.8899	644538.6894
PIP4K2C	283664.0195	293404.81	183045.9947	818692.3466	527971.3189	1175962.799
DIAPH2	184516.3204	121454.3091	88365.07063	4683006.902	2464707.412	2734147.373
PON2	4375524.201	4723981.307	5323710.337	5800299.805	7361495.982	7096998.124
PSMC4	22107810.8	23387482.67	20212190.91	32472714.93	30947557.51	34933461.1
DDAH1	8711797.458	7692342.758	8123708.879	5342238.632	5513809.362	4983718.965
SSRP1	15123364.93	16694929.44	19374364.72	8548671.498	8130258.18	11292407.57
YWHAE	353766874.2	354873404.6	480035910.8	304308856.6	236922025.9	243091402.9
P3H3	5136168.213	5473959.074	5433322.585	4089786.944	3322474.95	2786111.16
COPB1	25407683.31	25830660.89	28150565.99	18492748.6	16273163.75	17879731.65
ACADVL	32119961.74	35270503.64	38685139.78	47320430.4	56544540.31	51643557.64
PPP1R12A	60658641.07	56154613.15	61055666.33	45095223.54	48053949.57	50237490.67
LOXL2	3541956.727	3630712.713	3426414.234	2851740.332	1380826.61	1526823.912
SERPINA5	630494.8014	664406.2331	692706.7284	914604.6057	1076507.913	1126216.179
EIF5	4554405.499	5458865.83	7677182.151	9399924.135	10859870.11	11126075.99
SAP18	1877824.067	1946935.374	1885136.881	175290.5035	193965.0889	312690.125
RAB14	11592937.2	12196561.88	9822012.746	9475014.567	7118759.649	5856563.636
AKT1	1309083.778	1428639.242	1162662.592	4261840.437	3184481.439	3460765.388
HEXA	12378980.72	14019859.84	15061471.27	5657316.878	4991495.606	8510039.337
ATP6V1H	2314159.253	2738504.579	4110981.793	5244091.432	6759849.685	6511232.359
IGF2R	3180437.687	3285507.094	2190143.525	2166284.186	1534095.966	1327410.8
DAP3	1326727.156	1009523.135	1563179.888	386049.5562	414807.3161	430454.4952
RPL7	143722797.2	151628223	173951505.7	110693222.7	101881916.9	95184954.03
YWHAQ	37309812.29	51176994.96	64925719.82	67244441.44	83158108.21	74162572.24
AKR1A1	9357940.297	9854646.629	13228233.98	17659887.06	20381109.3	13886012.14
ARCN1	25599832.24	25866979.85	29028149.75	39151357.54	41748939.92	41218014.53
CTSD	28310751.64	26429087.39	26997169.27	31987859.34	34961957.01	40671300.18
FUBP1	22162154.83	23405046.24	28065828.87	11742227.31	19421299.04	19511215.13
AHSG	111008811.5	115168487.1	78894376.9	1026546312	455055489.6	364483882.7
RAB22A	734405.6154	1160641.567	1443122.377	89500.36006	88637.05582	139232.9625
SDF2	72209.18236	100751.1439	204436.5699	267584.1471	381991.1374	418559.0041
UBE4B	169644.9823	296591.4219	788752.6869	795765.028	1675754.794	1098236.254
BET1	2387001.257	2111598.399	2236963.539	928020.8886	517286.3785	473911.1741
ATP5PD	24797371.71	24329148.49	27325124.29	19589763.62	18756508.39	18470535.3
ARID1A	850306.994	742276.1054	1330676.22	78370.81725	236011.9323	553140.061
FSCN1	59898498.73	64225514.72	60140945.99	55877618.68	22143103.11	20090654.27
TP53I3	1619978.74	477187.0827	1136880.387	5179425.698	3642079.944	6078338.97
MCM3	8962228.349	9326372.12	8064280.413	5336621.108	4990660.196	4494139.496
RPS14	129844917.2	144578195.3	101787738.5	60568677.43	85852009.28	46459491.49
SNRNP200	12503617.78	12261271.83	15609606.86	7070082.079	8456658.108	8620253.661
AKT2	1390986.928	1365967.668	1048248.268	350193.8876	333454.102	91452.86402
ALDH2	1058860.553	1037958.337	1915189.215	2537336.943	4342709.295	2579513.142
NRBP1	2346237.671	1987248.506	1563216.723	3353141.042	4865758.515	4339079.635
RND3	2234222.231	1611227.146	2330087.582	1150908.08	1436102.039	1210213.79
FSTL1	1290644.946	1475918.769	1856763.638	4386661.753	4121116.826	3143528.641
GAPVD1	840315.044	844765.0006	559165.71	264914.2194	304577.4454	184181.0093
RWDD4	152293.8769	186858.153	195080.8872	976466.9548	618028.4483	461792.5965
PPP3R1	1382867.86	1774702.134	2815362.284	4147616.15	3094006.819	2954618.52
BLVRB	14491976.13	9059220.805	13162870.81	9403769.963	3250917.353	4265103.999
CLIC1	61045793.99	56768419.18	54357239.87	53786845.08	35011542.11	37274734.75
ARHGAP17	4298013.215	4726847.927	4067825.328	2359601.981	745092.1119	2543898.706
COMMD2	3067562.472	2003602.165	1834712.213	1027891.613	1217181.723	1192009.712
THOC2	1085447.445	981929.1311	1297788.436	607236.3103	375001.442	344650.6903
IMPDH2	18998127.48	21777514.81	17361934.98	10683237.67	9912876.972	9846430.398
SUN1	197370.8329	121966.9625	145989.3814	1997966.819	2067693.888	2268613.097
RPL22L1	8227317.291	9206708.891	8104132.272	3906406.604	5010029.924	4936576.413
NCS1	108160.2426	245097.233	212776.1663	281292.8648	375233.8685	387170.3433
