Gene	CTRL_1	CTRL_2	CTRL_3	FTY_Eto_1	FTY_Eto_2	FTY_Eto_3
RIPK1	927314.0314	1145302.263	724311.3091	212804.75	121472.8693	216715.6443
UBXN6	1840976.947	2216649.795	1903839.06	4124011.031	3693489.892	4000481.129
TAF15	1998775.445	1779616.947	1697507.457	719436.25	781888.9653	833275.0528
ARCN1	25599832.24	25866979.85	29028149.75	42380000.81	41565856.41	37368556.94
ROCK1	1855096.857	1826538.744	2316818.621	4536768.813	4817237.963	4255503.73
AKT2	1390986.928	1365967.668	1048248.268	333697.1797	205349.2498	219004.3739
EPS8L2	3787651.719	2536669.017	2188591.38	4718066.766	4935384.429	5178559.981
DLGAP4	1044540.412	1010012.261	1341245.577	369901.7188	296448.2832	453272.3648
CCDC9	380612.614	526728.1381	524971.5499	1608725.938	1244918.911	1399557.708
CHD4	14240087.89	14396890.29	16912496.51	6482421.891	7248291.887	8047268.224
CLIC1	61045793.99	56768419.18	54357239.87	41796767.41	41863666.63	41705767.77
NCS1	108160.2426	245097.233	212776.1663	386759.6113	350836.3463	316979.1712
ERLEC1	83099.1218	178993.3653	232309.1713	1591694.875	2489697.954	2142738.028
GNAI1	844549.1852	781623.3809	580155.5137	409122.3516	157133.451	334914.3659
UGP2	41556731.34	36951255.97	42791152.53	62804823.98	62524710.73	60431045.74
SRGAP1	1760938.803	1588447.439	1722872.568	4031471.641	3366920.496	3675784.678
SERPINF2	1330953.839	1540988.926	1472632.61	6282642.938	8366126.688	6213111.646
LONP1	5583253.878	5399198.685	6330068.869	8744169.086	6767301.025	7067076.42
PPIH	4366515.638	4290825.471	3903476.803	2111199.25	2144155.396	2026918.225
NIFK	4033195.782	4183348.153	3787484.67	1099991.301	1559631.831	1370823.394
MYO1E	1033199.449	1709898.985	1437699.997	7264969.609	8796813.007	7037739.579
UBE2V2	11018826.82	11176306.92	7495826.086	13291292.25	14753764.65	13711780.32
STK3	1088654.441	1185676.791	1060871.888	387253.0156	809923.1156	531412.7066
RAB22A	734405.6154	1160641.567	1443122.377	132260.6875	120032.7547	186132.773
PPIC	10418800.76	10084501.26	13665212.14	3392627.969	2796371.857	7729968.821
GBA1	14523106.9	15270991.7	12767003.32	20414186.84	18786977.63	19667856.19
